policy,query,hard_prob,selected_mode,ce_top_n,ndcg@10,mrr@10,recall@10,latency_ms
baseline_or_ce_t0.3_k5,vitamins health benefits,0.3244237385831863,cross_encoder,5,1.0,1.0,0.5263157894736842,201.57033303985372
baseline_or_ce_t0.3_k5,tesla battery technology,0.3244237385831863,cross_encoder,5,0.24663079126431456,0.16666666666666666,0.5,81.46170794498175
baseline_or_ce_t0.3_k5,climate change effects,0.31974729732712515,cross_encoder,5,1.0,1.0,0.7142857142857143,60.202958062291145
baseline_or_ce_t0.3_k5,machine learning algorithms,0.3315043776489495,cross_encoder,5,0.682643723227449,1.0,0.42857142857142855,58.50437504705042
baseline_or_ce_t0.3_k5,cooking pasta recipes,0.31742252404318105,cross_encoder,5,0.6421867266689009,1.0,0.4166666666666667,64.06129203969613
baseline_or_ce_t0.3_k5,investment strategies,0.6277210866404445,cross_encoder,5,1.0,1.0,0.5263157894736842,56.415250059217215
baseline_or_ce_t0.3_k5,quantum computing principles,0.33388183717861114,cross_encoder,5,1.0,1.0,0.7692307692307693,52.323583979159594
baseline_or_ce_t0.3_k5,exercise weight loss,0.31510682374976606,cross_encoder,5,1.0,1.0,0.5263157894736842,67.57666700286791
baseline_or_ce_t0.3_k5,renewable energy sources,0.3244237385831863,cross_encoder,5,1.0,1.0,0.7692307692307693,56.36575008975342
baseline_or_ce_t0.3_k5,smartphone photography tips,0.3315043776489495,cross_encoder,5,0.8572048559638626,1.0,0.6666666666666666,57.59612494148314
baseline_or_ce_t0.3_k5,meditation stress relief,0.3244237385831863,cross_encoder,5,1.0,1.0,1.0,68.87658295454457
baseline_or_ce_t0.3_k5,artificial intelligence ethics,0.3386620852656193,cross_encoder,5,0.5075394027672818,1.0,0.5,62.209792027715594
baseline_or_ce_t0.3_k5,travel budget planning,0.31974729732712515,cross_encoder,5,0.8739940559175741,1.0,0.5,81.44437405280769
baseline_or_ce_t0.3_k5,home gardening vegetables,0.32677524026768234,cross_encoder,5,0.7483462289656804,1.0,0.5263157894736842,61.982958985026926
baseline_or_ce_t0.3_k5,sleep quality improvement,0.32677524026768234,cross_encoder,5,0.8065735963827292,1.0,1.0,69.29983297595754
baseline_or_ce_t0.3_k5,electric vehicle charging,0.32677524026768234,cross_encoder,5,0.7843210331092425,1.0,0.42857142857142855,80.25895792525262
baseline_or_ce_t0.3_k5,online learning platforms,0.32677524026768234,cross_encoder,5,0.053602099459676644,0.1,0.3333333333333333,62.97912402078509
baseline_or_ce_t0.3_k5,sustainable fashion brands,0.32913548237796014,cross_encoder,5,0.6025440183559616,1.0,0.6363636363636364,60.708916978910565
baseline_or_ce_t0.3_k5,data privacy protection,0.3220810629458311,cross_encoder,5,0.8155698910031631,1.0,0.6666666666666666,56.97679100558162
baseline_or_ce_t0.3_k5,mental health therapy,0.31742252404318105,cross_encoder,5,1.0,1.0,0.7142857142857143,68.13662603963166
baseline_or_ce_t0.3_k5,space exploration missions,0.32913548237796014,cross_encoder,5,0.4315053497648679,1.0,0.6666666666666666,65.91895903693512
baseline_or_ce_t0.3_k5,social media marketing,0.31974729732712515,cross_encoder,5,0.8744174724678917,1.0,0.375,83.45908403862268
baseline_or_ce_t0.3_k5,protein rich foods,0.31050295643027637,cross_encoder,5,1.0,1.0,0.6666666666666666,84.65279202209786
baseline_or_ce_t0.3_k5,who coined the,0.8126155635549263,cross_encoder,5,1.0,1.0,0.5263157894736842,67.64208304230124
baseline_or_ce_t0.3_k5,cooked least,0.6049354154232202,cross_encoder,5,1.0,1.0,0.5555555555555556,59.15662494953722
baseline_or_ce_t0.3_k5,traits that are derived from a common ancestor are said to be,0.8077116338396741,cross_encoder,5,0.9096689795030762,1.0,0.75,76.00941695272923
baseline_or_ce_t0.3_k5,greek tragedy,0.6074918242444084,cross_encoder,5,1.0,1.0,0.43478260869565216,70.66841598134488
